time_s,time_end_s,rank,contributor,key,value,unit,fraction,cumulative_fraction,flags
281.53892184206836,,5,Sb-133,511330,2528227674.7974076,R/h,0.03837339346704275,0.29043536043553003,0
281.53892184206836,,6,Sr-94,380940,2353915417.8917522,R/h,0.03572768521574574,0.3261630456512758,0
281.53892184206836,,7,Cs-140,551400,2280762902.9118757,R/h,0.03461737767959733,0.3607804233308731,0
281.53892184206836,,8,Ce-145,581450,2266300739.467865,R/h,0.03439787122701245,0.39517829455788556,1
364.2808225946576,,1,Sr-93,380930,4431540963.7948,R/h,0.08929371237404601,0.08929371237404601,1
364.2808225946576,,2,Kr-89,360890,3153081481.732467,R/h,0.0635332840702557,0.1528269964443017,0
364.2808225946576,,3,Rb-90,370900,3133117048.676118,R/h,0.06313100902471082,0.2159580054690125,1
364.2808225946576,,4,Sb-132,511320,2021229438.73487,R/h,0.04072693485604054,0.25668494032505307,0
364.2808225946576,,5,Rb-89,370890,1950860934.2112498,R/h,0.03930903867625588,0.29599397900130897,0
364.2808225946576,,6,Ba-142,561420,1898956493.0659068,R/h,0.038263185715303204,0.33425716471661215,0
364.2808225946576,,7,Y-95,390950,1898749566.4332464,R/h,0.03825901622948095,0.3725161809460931,1
364.2808225946576,,8,Mo-101,421010,1869858475.02678,R/h,0.037676872720643295,0.4101930536667364,0
471.33986605475457,,1,Sr-93,380930,3751406483.5981684,R/h,0.09815223061634223,0.09815223061634223,1
471.33986605475457,,2,Kr-89,360890,2129201499.1143608,R/h,0.05570867286268727,0.1538609034790295,0
471.33986605475457,,3,Rb-89,370890,2041618228.3479145,R/h,0.053417134095031134,0.20727803757406063,0
471.33986605475457,,4,Rb-90,370900,1969843130.9301276,R/h,0.05153920219267329,0.25881723976673393,1
471.33986605475457,,5,Mo-101,421010,1718082376.7145267,R/h,0.04495210486905497,0.3037693446357889,0
471.33986605475457,,6,Ba-142,561420,1689826377.1072612,R/h,0.04421281164613355,0.3479821562819225,0
471.33986605475457,,7,Y-95,390950,1683961664.429143,R/h,0.044059366629231746,0.39204152291115424,1
471.33986605475457,,8,Xe-138,541380,1511604889.2557256,R/h,0.039549804144047754,0.431591327055202,0
609.8626541746804,,1,Sr-93,380930,3023899143.1748476,R/h,0.10091617166495695,0.10091617166495695,1
609.8626541746804,,2,Rb-89,370890,2036090413.7479541,R/h,0.06795016632182724,0.1688663379867842,0
609.8626541746804,,3,Mo-101,421010,1539835683.9902236,R/h,0.051388725239768555,0.22025506322655275,0
609.8626541746804,,4,Ba-142,561420,1453037460.193309,R/h,0.04849202001311666,0.2687470832396694,0
609.8626541746804,,5,Y-95,390950,1441643752.3762698,R/h,0.04811177936370218,0.3168588626033716,1
609.8626541746804,,6,Xe-138,541380,1349205389.7741446,R/h,0.045026846557712684,0.36188570916108426,0
609.8626541746804,,7,Kr-89,360890,1281104074.485747,R/h,0.04275411069621246,0.4046398198572967,0
609.8626541746804,,8,Rb-90,370900,1079856742.0371373,R/h,0.03603791105233953,0.44067773090963624,1
789.0961145938365,,1,Sr-93,380930,2287833159.3857746,R/h,0.09645928913363665,0.09645928913363665,1
789.0961145938365,,2,Rb-89,370890,1918291123.8902779,R/h,0.08087871154533789,0.17733800067897454,0
789.0961145938365,,3,Mo-101,421010,1336363094.3988082,R/h,0.05634354654809866,0.23368154722707318,0
789.0961145938365,,4,Ba-142,561420,1195205158.5662286,R/h,0.050392066174574535,0.2840736134016477,0
789.0961145938365,,5,Y-95,390950,1179105631.7870114,R/h,0.049713280266546096,0.3337868936681938,1
789.0961145938365,,6,Xe-138,541380,1164692548.174436,R/h,0.04910559793018818,0.382892491598382,0
789.0961145938365,,7,Cs-138,551380,918360047.7296693,R/h,0.03871976285041659,0.4216122544487986,0
789.0961145938365,,8,Ba-141,561410,881988274.8165064,R/h,0.03718626144742282,0.4587985158962214,0
1021.0047685404585,,1,Rb-89,370890,1692918213.6792722,R/h,0.08992956601706333,0.08992956601706333,0
1021.0047685404585,,2,Sr-93,380930,1594698232.2646577,R/h,0.08471201904317642,0.17464158506023975,1
1021.0047685404585,,3,Mo-101,421010,1112462990.9249256,R/h,0.059095184383713105,0.23373676944395286,0
1021.0047685404585,,4,Cs-138,551380,1022158645.5640755,R/h,0.05429812418190538,0.2880348936258582,0
1021.0047685404585,,5,Xe-138,541380,962885449.8218477,R/h,0.05114947073457893,0.33918436436043714,0
1021.0047685404585,,6,Ba-142,561420,928273624.1815175,R/h,0.049310854767344224,0.38849521912778134,0
1021.0047685404585,,7,Y-95,390950,909052958.4364072,R/h,0.04828983312846647,0.4367850522562478,1
1021.0047685404585,,8,Ba-141,561410,761689282.03458,R/h,0.04046172226143674,0.47724677451768455,0
1321.069408533237,,1,Rb-89,370890,1387860850.9209757,R/h,0.09314342355415994,0.09314342355415994,0
1321.069408533237,,2,Cs-138,551380,1100115800.420478,R/h,0.07383200692575974,0.1669754304799197,0
1321.069408533237,,3,Sr-93,380930,999692429.8355732,R/h,0.06709229916981356,0.23406772964973327,1
1321.069408533237,,4,Mo-101,421010,877488579.4479834,R/h,0.058890839355562635,0.29295856900529593,0
1321.069408533237,,5,Xe-138,541380,752751681.5718815,R/h,0.05051937927439107,0.34347794827968703,0
1321.069408533237,,6,Ba-142,561420,669345170.8805431,R/h,0.04492172303432738,0.3883996713140144,0
1321.069408533237,,7,Y-95,390950,649271937.3162333,R/h,0.043574549292275805,0.4319742206062902,1
1321.069408533237,,8,Ba-141,561410,630052016.2250556,R/h,0.042284643859980396,0.4742588644662706,0
1709.3205006840283,,1,Cs-138,551380,1133297109.3961163,R/h,0.09693861617135348,0.09693861617135348,0
1709.3205006840283,,2,Rb-89,370890,1047106857.1494585,R/h,0.08956617719574982,0.1865047933671033,0
1709.3205006840283,,3,I-134,531340,667050147.1774567,R/h,0.05705733972862273,0.24356213309572602,0
1709.3205006840283,,4,Mo-101,421010,645525774.0697949,R/h,0.05521621357934272,0.29877834667506875,0
1709.3205006840283,,5,Xe-138,541380,547400404.9395093,R/h,0.046822882813801696,0.34560122948887045,0
1709.3205006840283,,6,Sr-93,380930,546323064.2510253,R/h,0.04673073053120885,0.3923319600200793,1
1709.3205006840283,,7,Ba-141,561410,492898938.63476443,R/h,0.042161001406809624,0.4344929614268889,0
1709.3205006840283,,8,Te-134,521340,479723765.2027727,R/h,0.04103403913916966,0.47552700056605857,0
2211.675295170676,,1,Cs-138,551380,1103469715.9645877,R/h,0.12200985964071644,0.12200985964071644,0
